NaN NaN
  42.987 -0.503
  42.996 -0.360
  43.004 -0.233
  43.017 -0.098
  43.017 -0.037
  43.022  0.067
  43.017  0.184
NaN NaN
  43.087 -0.656     
  43.070 -0.558
  43.035 -0.454
  43.052 -0.350
  43.061 -0.245
  43.070 -0.135
  43.078 -0.025
  43.070  0.0
NaN NaN
  43.096 -0.018
  43.080 -0.025
  43.017 -0.037
  42.987 -0.049
NaN NaN
  43.096 -0.160     
  43.070 -0.135
  43.017 -0.098
  43.0   -0.080
NaN NaN
  43.165  0.098   
  43.096  0.129
  43.017  0.184
  42.917  0.307
NaN NaN
  43.017  0.184     
  42.939  0.374
  42.913  0.546
  42.891  0.736
  42.887  0.877
  42.891  1.031
  42.839  1.202
  42.791  1.319
  42.765  1.454
  42.761  1.644
NaN NaN
  42.841  1.237    
  42.833  1.415
  42.828  1.532
  42.798  1.636
  42.728  1.802
  42.720  1.955
  42.741  2.066
  42.733  2.225
  42.733  2.397
  42.720  2.520
  42.685  2.648
NaN NaN
  42.652  0.847    
  42.661  0.957
  42.643  1.025
  42.609  1.067
NaN NaN
  42.309  1.509     
  42.261  1.503
  42.204  1.429
  42.148  1.350
  42.070  1.252
NaN NaN
  42.365  1.570     
  42.361  1.693
  42.361  1.847
  42.417  1.945
  42.426  2.0
  42.474  2.074
  42.5    2.123
  42.517  2.215
  42.530  2.331
  42.574  2.405
NaN NaN
  42.4    2.245     
  42.491  2.301
  42.530  2.368
  42.574  2.405
  42.622  2.497
  42.665  2.607
NaN NaN
  42.422  2.436     
  42.448  2.564
  42.487  2.706
  42.490  2.883
  42.517  2.883
  42.552  3.055
NaN NaN
  42.910 2.917
  42.881 2.889
  42.863 2.855
  42.839 2.790
  42.821 2.766
  42.799 2.722
  42.796 2.708
NaN NaN
  43.086 -1.645
  43.044 -1.69
  42.887 -1.84
  42.825 -1.900
  42.768 -2.005
NaN NaN
  43.087 -2.161
  43.075 -2.022
  43.074 -1.864
  43.086 -1.758
  43.107 -1.655
  43.127 -1.573
NaN NaN
  42.953 -1.616
  42.973 -1.574
  42.984 -1.464
  43.000 -1.355
  43.026 -1.270
NaN NaN
  43.023 -1.204
  43.030 -1.025
